Class,Method
collectionpoint,updatedetails
collectionpoint,updateoperatinghours
collectionpoint,validateoperatinghours
collectionrequest,schedulecollection
notificationservice,notifyrequestaccepted
notificationservice,sendnotification
notificationservice,sendpasswordresetemail
notificationservice,sendpasswordresetlink
notificationservice,sendregistrationconfirmation
notificationservice,sendverificationemail
product,createlisting
product,publish
product,publishlisting
product,updatedetails
product,updatelisting
rolemanager,assignrole
rolemanager,validateroletransition
serviceprovider,acceptrequest
serviceprovider,checkavailability
serviceprovider,updateprofile
servicerequest,assignprovider
servicerequest,cancel
servicerequest,cancelrequest
servicerequest,createrequest
servicerequest,schedule
servicerequest,schedulerequest
servicerequest,submitrequest
servicerequest,updatestatus
transportrequest,scheduletransport
useraccount,activateaccount
useraccount,createaccount
useraccount,deactivate
useraccount,deactivateaccount
useraccount,lockaccount
useraccount,login
useraccount,logout
useraccount,unlockaccount
useraccount,verifyemail
usercredentials,generatepasswordresettoken
usercredentials,resetpassword
usercredentials,updatepassword
usercredentials,validatecredentials
usercredentials,validatepassword
usercredentials,validatepasswordstrength
userprofile,updateprofile
userprofile,updateprofiledetails
userprofile,validateemailformat
userprofile,validateprofiledata
userprofile,verifyemail
wastejourney,addstage
wastejourney,getcurrentstatus
wastejourney,updatelocation
wastejourney,updatestage
wastejourney,updatestatus
